Index,Time,Wind Value(mph),Temp(°F),,,,,,Start time ,end time ,Max wind Speed 
63, 11:01:43,8.9,68.9,,,,,,,,
64, 11:01:44,8.9,68.9,,,,,,,,
65, 11:01:45,9.1,68.9,,,,,,,,
66, 11:01:46,9.4,68.9,,,,,,,,
67, 11:01:47,9.4,68.9,,,,,,,,
68, 11:01:48,9.4,68.7,,,,,,,,
69, 11:01:49,9.8,68.7,,,,,,,,
70, 11:01:50,9.8,68.7,,,,,,,,
71, 11:01:51,10.9,68.7,,,,,,,,
72, 11:01:52,10.7,68.7,,,,,,,,
73, 11:01:53,10.3,68.7,,,,,,,,
74, 11:01:54,9.4,68.5,,,,,,,,
75, 11:01:55,10.3,68.5,,,,,,,,
76, 11:01:56,10.7,68.5,,,,,,,,
77, 11:01:57,10,68.5,,,,,,,,
78, 11:01:58,10,68.5,,,,,,,,
79, 11:01:59,9.8,68.5,,,,,,,,
80, 11:02:00,9.1,68.5,,,,,,,,
81, 11:02:01,8.2,68.5,,,,,,,,
82, 11:02:02,8.9,68.5,,,,,,,,
83, 11:02:03,10.9,68.5,,,,,,,,
84, 11:02:04,10,68.5,,,,,,,,
85, 11:02:05,8.7,68.5,,,,,,,,
86, 11:02:06,9.1,68.5,,,,,,,,
87, 11:02:07,8.5,68.5,,,,,,,,
88, 11:02:08,8.7,68.5,,,,,,,,
89, 11:02:09,7.6,68.5,,,,,,,,
90, 11:02:10,8,68.5,,,,,,,,
91, 11:02:11,10,68.5,,,,,,,,
92, 11:02:12,10.3,68.5,,,,,,,,
93, 11:02:13,9.6,68.5,,,,,,,,
94, 11:02:14,7.8,68.5,,,,,,,,
95, 11:02:15,7.8,68.5,,,,,,,,
96, 11:02:16,8.5,68.5,,,,,,,,
97, 11:02:17,9.6,68.5,,,,,,,,
98, 11:02:18,10.3,68.3,,,,,,,,
99, 11:02:19,9.8,68.3,,,,,,,,
100, 11:02:20,8.9,68.3,,,,,,,,
101, 11:02:21,8,68.3,,,,,,,,
102, 11:02:22,9.1,68.3,,,,,,,,
103, 11:02:23,11.2,68.3,,,,,,,,
104, 11:02:24,10,68.1,,,,,,,,
105, 11:02:25,10.3,68.1,,,,,,,,
